eventName,userAgent,sourceIPAddress,eventSource,additionalEventData,errorMessage,errorCode,readOnly,type,accountId,userName,invokedBy,sessionContext.sessionIssuer.userName,Label
AssumeRole,lambda.amazonaws.com,lambda.amazonaws.com,sts.amazonaws.com,,User arn:aws:iam::811596193553:user/Level6 is not authorized to perform: sts:AssumeRole on resource: arn:aws:iam::811596193553:user/piper,AccessDenied,,AWSService,8.11596E+11,Level6,lambda.amazonaws.com,,Malicious
AttachRolePolicy,aws-cli/1.16.130 Python/2.7.16rc1 Linux/4.19.0-kali3-amd64 botocore/1.12.120,251.252.39.140,iam.amazonaws.com,,User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:AttachRolePolicy on resource: role SecurityAudit,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
AttachUserPolicy,console.amazonaws.com,2.7.223.252,iam.amazonaws.com,,,,,Root,8.11596E+11,flaws,,,Legit
AttachVolume,aws-cli/1.15.83 Python/2.7.14 Linux/4.14.77-70.59.amzn1.x86_64 botocore/1.10.82,252.0.30.251,ec2.amazonaws.com,,The instance ID 'i-da98fe54129ab42c6' does not exist,Client.InvalidInstanceID.NotFound,,IAMUser,8.11596E+11,backup,,,Legit
AuthorizeSecurityGroupIngress,aws-cli/1.15.45 Python/2.7.12 Linux/4.4.0-66-generic botocore/1.10.45,251.46.250.216,ec2.amazonaws.com,,The security group 'SEC545-CLILAB' does not exist in default VPC 'vpc-6a44c722',Client.InvalidGroup.NotFound,,IAMUser,8.11596E+11,backup,,,Legit
ConsoleLogin,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/72.0.3626.119 Safari/537.36",2.7.223.252,signin.amazonaws.com,"{'LoginTo': 'https://console.aws.amazon.com/iam/home?state=hashArgs%23%2Froles%2FSummitRouteAudit&isauthcode=true', 'MobileVersion': 'No', 'MFAUsed': 'Yes'}",,,,Root,8.11596E+11,,,,Legit
CopySnapshot,aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.48,181.24.4.8,ec2.amazonaws.com,,You are not authorized to perform this operation.,Client.UnauthorizedOperation,,IAMUser,8.11596E+11,backup,,,Malicious
CreateAccessKey,aws-cli/1.15.4 Python/2.7.10 Darwin/18.0.0 botocore/1.10.4,111.9.248.2,iam.amazonaws.com,,User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: iam:CreateAccessKey on resource: user piper,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
CreateApiKey,aws-cli/1.15.4 Python/2.7.10 Darwin/18.0.0 botocore/1.10.4,111.9.248.2,apigateway.amazonaws.com,,User: arn:aws:iam::811596193553:user/Level6 is not authorized to perform: apigateway:POST on resource: arn:aws:apigateway:us-west-2::/apikeys,AccessDenied,,IAMUser,8.11596E+11,Level6,,,Malicious
CreateBucket,[aws-cli/1.16.43 Python/2.7.15 Linux/3.10.0-862.14.4.el7.x86_64 botocore/1.12.33],4.165.74.232,s3.amazonaws.com,"{'SignatureVersion': 'SigV4', 'CipherSuite': 'ECDHE-RSA-AES128-GCM-SHA256', 'AuthenticationMethod': 'AuthHeader'}",Access Denied,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
CreateImage,Boto3/1.7.4 Python/3.7.2+ Linux/4.4.0-01985-Microsoft Botocore/1.10.4,2.231.90.242,ec2.amazonaws.com,,You are not authorized to perform this operation.,Client.UnauthorizedOperation,,IAMUser,8.11596E+11,backup,,,Malicious
CreateKeyPair,aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.48,251.24.251.255,ec2.amazonaws.com,,You are not authorized to perform this operation.,Client.UnauthorizedOperation,,IAMUser,8.11596E+11,backup,,,Malicious
CreateLogStream,awslambda-worker,210.2.254.107,logs.amazonaws.com,,,,,AssumedRole,8.11596E+11,,,Level6,Legit
CreatePolicy,console.amazonaws.com,2.7.223.252,iam.amazonaws.com,,,,,Root,8.11596E+11,flaws,,,Legit
CreateRepository,aws-cli/1.16.96 Python/2.7.15rc1 Linux/4.15.0-46-generic botocore/1.12.86,6.3.3.245,ecr.amazonaws.com,,User: arn:aws:iam::811596193553:user/backup is not authorized to perform: ecr:CreateRepository on resource: *,AccessDenied,,IAMUser,8.11596E+11,backup,,,Malicious
CreateSecurityGroup,aws-cli/1.15.45 Python/2.7.12 Linux/4.4.0-66-generic botocore/1.10.45,251.46.250.216,ec2.amazonaws.com,,You are not authorized to perform this operation.,Client.UnauthorizedOperation,,IAMUser,8.11596E+11,backup,,,Malicious
CreateServiceLinkedRole,organizations.amazonaws.com,organizations.amazonaws.com,iam.amazonaws.com,,"Service role name AWSServiceRoleForCloudTrail has been taken in this account, please try a different suffix.",InvalidInputException,,AssumedRole,8.11596E+11,,organizations.amazonaws.com,AWSServiceRoleForOrganizations,Malicious
CreateSnapshot,aws-cli/1.16.140 Python/3.7.3 Darwin/18.5.0 botocore/1.12.130,222.60.222.9,ec2.amazonaws.com,,The volume 'vol-138befa4bae4ea966' does not exist.,Client.InvalidVolume.NotFound,,IAMUser,8.11596E+11,backup,,,Legit
